iata_code,type,name,lat,lon,elevation_ft,iso_region,municipality,icao_code,home_link,wikipedia_link
WKK,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66.0,US-AK,Aleknagik,5A8,,http://en.wikipedia.org/wiki/Aleknagik_Airport
ABE,medium_airport,Lehigh Valley International Airport,40.652099609375,-75.44080352783203,393.0,US-PA,Allentown,KABE,,http://en.wikipedia.org/wiki/Lehigh_Valley_International_Airport
ABI,medium_airport,Abilene Regional Airport,32.4113006592,-99.68190002440001,1791.0,US-TX,Abilene,KABI,,http://en.wikipedia.org/wiki/Abilene_Regional_Airport
ABR,medium_airport,Aberdeen Regional Airport,45.44910049438477,-98.42179870605469,1302.0,US-SD,Aberdeen,KABR,,http://en.wikipedia.org/wiki/Aberdeen_Regional_Airport
ABY,medium_airport,Southwest Georgia Regional Airport,31.535499572753906,-84.19450378417969,197.0,US-GA,Albany,KABY,,http://en.wikipedia.org/wiki/Southwest_Georgia_Regional_Airport
ACK,medium_airport,Nantucket Memorial Airport,41.25310135,-70.06020355,47.0,US-MA,Nantucket,KACK,,http://en.wikipedia.org/wiki/Nantucket_Memorial_Airport
ACT,medium_airport,Waco Regional Airport,31.61129951477051,-97.23049926757812,516.0,US-TX,Waco,KACT,,http://en.wikipedia.org/wiki/Waco_Regional_Airport
ACV,medium_airport,Arcata Airport,40.97809982299805,-124.10900115966795,221.0,US-CA,Arcata/Eureka,KACV,,http://en.wikipedia.org/wiki/Arcata-Eureka_Airport
ACY,medium_airport,Atlantic City International Airport,39.45759963989258,-74.57720184326172,75.0,US-NJ,Atlantic City,KACY,,http://en.wikipedia.org/wiki/Atlantic_City_International_Airport
AEX,medium_airport,Alexandria International Airport,31.32740020751953,-92.54979705810548,89.0,US-LA,Alexandria,KAEX,,http://en.wikipedia.org/wiki/Alexandria_International_Airport
AGC,medium_airport,Allegheny County Airport,40.354400634765625,-79.9301986694336,1252.0,US-PA,Pittsburgh,KAGC,,http://en.wikipedia.org/wiki/Allegheny_County_Airport
AHN,medium_airport,Athens Ben Epps Airport,33.94860076904297,-83.32630157470703,808.0,US-GA,Athens,KAHN,,http://en.wikipedia.org/wiki/Athens-Ben_Epps_Airport
AKC,medium_airport,Akron Fulton International Airport,41.0374984741,-81.46690368649999,1067.0,US-OH,Akron,KAKR,,http://en.wikipedia.org/wiki/Akron_Fulton_International_Airport
ALB,medium_airport,Albany International Airport,42.74829864501953,-73.80169677734375,285.0,US-NY,Albany,KALB,http://www.albanyairport.com/,http://en.wikipedia.org/wiki/Albany_International_Airport
ALI,medium_airport,Alice International Airport,27.740900039699998,-98.02690124510002,178.0,US-TX,Alice,KALI,,http://en.wikipedia.org/wiki/Alice_International_Airport
ALM,medium_airport,Alamogordo White Sands Regional Airport,32.839900970500004,-105.990997314,4200.0,US-NM,Alamogordo,KALM,,http://en.wikipedia.org/wiki/Alamogordo-White_Sands_Regional_Airport
ALN,medium_airport,St Louis Regional Airport,38.89030075069999,-90.04599761959999,544.0,US-IL,Alton/St Louis,KALN,,http://en.wikipedia.org/wiki/St._Louis_Regional_Airport
ALO,medium_airport,Waterloo Regional Airport,42.55709838867188,-92.40029907226562,873.0,US-IA,Waterloo,KALO,,http://en.wikipedia.org/wiki/Waterloo_Regional_Airport
ALS,medium_airport,San Luis Valley Regional Bergman Field,37.434898,-105.866997,7539.0,US-CO,Alamosa,KALS,,https://en.wikipedia.org/wiki/San_Luis_Valley_Regional_Airport
ALW,medium_airport,Walla Walla Regional Airport,46.09489822,-118.288002,1194.0,US-WA,Walla Walla,KALW,,http://en.wikipedia.org/wiki/Walla_Walla_Regional_Airport
ANB,medium_airport,Anniston Metropolitan Airport,33.58819962,-85.85810089,612.0,US-AL,Anniston,KANB,,http://en.wikipedia.org/wiki/Anniston_Metropolitan_Airport
AND,medium_airport,Anderson Regional Airport,34.4945983887,-82.70939636230001,782.0,US-SC,Anderson,KAND,,http://en.wikipedia.org/wiki/Anderson_Regional_Airport
AOO,medium_airport,Altoona Blair County Airport,40.29639816,-78.31999969,1503.0,US-PA,Altoona,KAOO,,http://en.wikipedia.org/wiki/Altoona-Blair_County_Airport
APA,medium_airport,Centennial Airport,39.57009888,-104.84899899999999,5885.0,US-CO,Denver,KAPA,,http://en.wikipedia.org/wiki/Centennial_Airport
APF,medium_airport,Naples Municipal Airport,26.1525993347,-81.7752990723,8.0,US-FL,Naples,KAPF,,http://en.wikipedia.org/wiki/Naples_Municipal_Airport
APG,medium_airport,Phillips Army Air Field,39.466202,-76.1688,57.0,US-MD,Aberdeen Proving Grounds(Aberdeen),KAPG,,https://en.wikipedia.org/wiki/Phillips_Army_Airfield
APN,medium_airport,Alpena County Regional Airport,45.07809829999999,-83.56030273,690.0,US-MI,Alpena,KAPN,,http://en.wikipedia.org/wiki/Alpena_County_Regional_Airport
ARA,medium_airport,Acadiana Regional Airport,30.0378,-91.883904,24.0,US-LA,New Iberia,KARA,http://www.flyiberiaparish.com/,https://en.wikipedia.org/wiki/Acadiana_Regional_Airport
ART,medium_airport,Watertown International Airport,43.99190139770508,-76.02169799804688,325.0,US-NY,Watertown,KART,,http://en.wikipedia.org/wiki/Watertown_International_Airport
ASE,medium_airport,Aspen-Pitkin Co/Sardy Field,39.22320175,-106.8690033,7820.0,US-CO,Aspen,KASE,http://aspenairport.com/,http://en.wikipedia.org/wiki/Aspen%E2%80%93Pitkin_County_Airport
AST,medium_airport,Astoria Regional Airport,46.158000946,-123.87899780299999,15.0,US-OR,Astoria,KAST,,http://en.wikipedia.org/wiki/Astoria_Regional_Airport
ATY,medium_airport,Watertown Regional Airport,44.91400146,-97.15470123,1749.0,US-SD,Watertown,KATY,,http://en.wikipedia.org/wiki/Watertown_Regional_Airport
AUG,medium_airport,Augusta State Airport,44.320598602299995,-69.7973022461,352.0,US-ME,Augusta,KAUG,,http://en.wikipedia.org/wiki/Augusta_State_Airport
AUW,medium_airport,Wausau Downtown Airport,44.9262008667,-89.62660217290001,1201.0,US-WI,Wausau,KAUW,http://www.ci.wausau.wi.us/Departments/Airport/GeneralInformation.aspx,http://en.wikipedia.org/wiki/Wausau_Downtown_Airport
AVP,medium_airport,Wilkes Barre Scranton International Airport,41.338500976599995,-75.72339630130001,962.0,US-PA,Wilkes-Barre/Scranton,KAVP,http://www.flyavp.com/,http://en.wikipedia.org/wiki/Wilkes-Barre/Scranton_International_Airport
AXN,medium_airport,Chandler Field,45.866298675500005,-95.3946990967,1425.0,US-MN,Alexandria,KAXN,,http://en.wikipedia.org/wiki/Alexandria_Municipal_Airport
AZO,medium_airport,Kalamazoo Battle Creek International Airport,42.234901428222656,-85.5521011352539,874.0,US-MI,Kalamazoo,KAZO,,http://en.wikipedia.org/wiki/Kalamazoo-Battle_Creek_International_Airport
BAF,medium_airport,Westfield-Barnes Regional Airport,42.157799,-72.715599,271.0,US-MA,Westfield/Springfield,KBAF,,https://en.wikipedia.org/wiki/Westfield-Barnes_Regional_Airport
CLU,medium_airport,Columbus Municipal Airport,39.2619018555,-85.8963012695,656.0,US-IN,Columbus,KBAK,,http://en.wikipedia.org/wiki/Columbus_Municipal_Airport_(Indiana)
BBD,medium_airport,Curtis Field,31.179300308200002,-99.32389831540002,1827.0,US-TX,Brady,KBBD,,http://en.wikipedia.org/wiki/Curtis_Field
BCE,medium_airport,Bryce Canyon Airport,37.706401825,-112.144996643,7590.0,US-UT,Bryce Canyon,KBCE,http://www.brycecanyonairport.com/,http://en.wikipedia.org/wiki/Bryce_Canyon_Airport
BDE,medium_airport,Baudette International Airport,48.7284011841,-94.61219787600001,1086.0,US-MN,Baudette,KBDE,,http://en.wikipedia.org/wiki/Baudette_International_Airport
BDR,medium_airport,Igor I Sikorsky Memorial Airport,41.16350173950195,-73.1261978149414,9.0,US-CT,Bridgeport,KBDR,,http://en.wikipedia.org/wiki/Sikorsky_Memorial_Airport
BED,medium_airport,Laurence G Hanscom Field,42.47000122,-71.28900146,133.0,US-MA,Bedford,KBED,http://www.massport.com/hansc/,http://en.wikipedia.org/wiki/Hanscom_Field
BFD,medium_airport,Bradford Regional Airport,41.8031005859375,-78.64009857177734,2143.0,US-PA,Bradford,KBFD,,http://en.wikipedia.org/wiki/Bradford_Regional_Airport
BFF,medium_airport,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,3967.0,US-NE,Scottsbluff,KBFF,,http://en.wikipedia.org/wiki/Western_Nebraska_Regional_Airport
BFL,medium_airport,Meadows Field,35.43360138,-119.0569992,510.0,US-CA,Bakersfield,KBFL,,http://en.wikipedia.org/wiki/Meadows_Field_Airport
BFM,medium_airport,Mobile Downtown Airport,30.626800537100006,-88.06809997559998,26.0,US-AL,Mobile,KBFM,,http://en.wikipedia.org/wiki/Mobile_Downtown_Airport
BGM,medium_airport,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,1636.0,US-NY,Binghamton,KBGM,http://binghamtonairport.com/,http://en.wikipedia.org/wiki/Greater_Binghamton_Airport
BHB,medium_airport,Hancock County-Bar Harbor Airport,44.45000076,-68.36150359999999,83.0,US-ME,Bar Harbor,KBHB,,http://en.wikipedia.org/wiki/Hancock_County-Bar_Harbor_Airport
BIF,medium_airport,Biggs Army Air Field (Fort Bliss),31.84950066,-106.3799973,3946.0,US-TX,Fort Bliss/El Paso,KBIF,https://www.bliss.army.mil/biggs/,http://en.wikipedia.org/wiki/Biggs_Army_Airfield
BIH,medium_airport,Eastern Sierra Regional Airport,37.373100280799996,-118.36399841299999,4124.0,US-CA,Bishop,KBIH,http://www.inyocounty.us/Airport/index.html,http://en.wikipedia.org/wiki/Eastern_Sierra_Regional_Airport
BIS,medium_airport,Bismarck Municipal Airport,46.77270126342773,-100.74600219726562,1661.0,US-ND,Bismarck,KBIS,http://bismarckairport.com/,http://en.wikipedia.org/wiki/Bismarck_Municipal_Airport
BIX,medium_airport,Keesler Air Force Base,30.4104003906,-88.92440032959999,33.0,US-MS,Biloxi,KBIX,,http://en.wikipedia.org/wiki/Keesler_Air_Force_Base
BJC,medium_airport,Rocky Mountain Metropolitan Airport,39.90879822,-105.11699679999998,5673.0,US-CO,Denver,KBJC,,http://en.wikipedia.org/wiki/Rocky_Mountain_Metropolitan_Airport
BJI,medium_airport,Bemidji Regional Airport,47.50939941,-94.93370056,1391.0,US-MN,Bemidji,KBJI,http://www.bemidjiairport.org/,http://en.wikipedia.org/wiki/Bemidji_Regional_Airport
BKE,medium_airport,Baker City Municipal Airport,44.8372993469,-117.808998108,3373.0,US-OR,Baker City,KBKE,http://www.bakeraircraft.com/,http://en.wikipedia.org/wiki/Baker_City_Municipal_Airport
BFK,medium_airport,Buckley Air Force Base,39.701698303200004,-104.75199890100001,5662.0,US-CO,Aurora,KBKF,,http://en.wikipedia.org/wiki/Buckley_Air_Force_Base
BKL,medium_airport,Burke Lakefront Airport,41.51750183105469,-81.68329620361328,583.0,US-OH,Cleveland,KBKL,http://www.clevelandairport.com/site/470/default.aspx,http://en.wikipedia.org/wiki/Cleveland_Burke_Lakefront_Airport
BKW,medium_airport,Raleigh County Memorial Airport,37.787300109899995,-81.1241989136,2504.0,US-WV,Beckley,KBKW,,http://en.wikipedia.org/wiki/Beckley_Raleigh_County_Memorial_Airport
BLF,medium_airport,Mercer County Airport,37.295799255371094,-81.20770263671875,2857.0,US-WV,Bluefield,KBLF,,http://en.wikipedia.org/wiki/Mercer_County_Airport_(West_Virginia)
BLH,medium_airport,Blythe Airport,33.6192016602,-114.717002869,399.0,US-CA,Blythe,KBLH,,http://en.wikipedia.org/wiki/Blythe_Airport
BLI,medium_airport,Bellingham International Airport,48.79280090332031,-122.53800201416016,170.0,US-WA,Bellingham,KBLI,,http://en.wikipedia.org/wiki/Bellingham_International_Airport
BMG,medium_airport,Monroe County Airport,39.14599990844727,-86.61669921875,846.0,US-IN,Bloomington,KBMG,,http://en.wikipedia.org/wiki/Monroe_County_Airport_(Indiana)
BNO,medium_airport,Burns Municipal Airport,43.5918998718,-118.955001831,4148.0,US-OR,Burns,KBNO,http://www.ci.burns.or.us/airport.html,http://en.wikipedia.org/wiki/Burns_Municipal_Airport
BPI,medium_airport,Miley Memorial Field,42.58509827,-110.1110001,6990.0,US-WY,Big Piney,KBPI,,http://en.wikipedia.org/wiki/Miley_Memorial_Field
WMH,medium_airport,Ozark Regional Airport,36.3689002991,-92.4704971313,928.0,US-AR,Mountain Home,KBPK,http://www.flytheozarks.com/,http://en.wikipedia.org/wiki/Ozark_Regional_Airport
BPT,medium_airport,Southeast Texas Regional Airport,29.9507999420166,-94.02069854736328,15.0,US-TX,Beaumont/Port Arthur,KBPT,,http://en.wikipedia.org/wiki/Southeast_Texas_Regional_Airport
BQK,medium_airport,Brunswick Golden Isles Airport,31.2588005065918,-81.46649932861328,26.0,US-GA,Brunswick,KBQK,,http://en.wikipedia.org/wiki/Brunswick_Golden_Isles_Airport
BRD,medium_airport,Brainerd Lakes Regional Airport,46.39830017,-94.13809967,1232.0,US-MN,Brainerd,KBRD,http://brainerdairport.com/,http://en.wikipedia.org/wiki/Brainerd_Lakes_Regional_Airport
BRL,medium_airport,Southeast Iowa Regional Airport,40.783199310302734,-91.12550354003906,698.0,US-IA,Burlington,KBRL,,http://en.wikipedia.org/wiki/Southeast_Iowa_Regional_Airport
BRO,medium_airport,Brownsville South Padre Island International Airport,25.90679931640625,-97.4259033203125,22.0,US-TX,Brownsville,KBRO,,http://en.wikipedia.org/wiki/Brownsville/South_Padre_Island_International_Airport
BTL,medium_airport,W K Kellogg Airport,42.3073005676,-85.25150299069999,952.0,US-MI,Battle Creek,KBTL,http://www.battlecreekmi.gov/City_Government/Departments/W_K__Kellogg_Airport.htm,http://en.wikipedia.org/wiki/W.K._Kellogg_Regional_Airport
