id,name,city,country,IATA,ICAO,lat,lon,alt,timezone,DST,Tz,type,src,flightcount
3484,Los Angeles International Airport,Los Angeles,United States,LAX,KLAX,33.94250107,-118.4079971,125,-8,A,America/Los_Angeles,airport,OurAirports,16990
3469,San Francisco International Airport,San Francisco,United States,SFO,KSFO,37.61899948,-122.375,13,-8,A,America/Los_Angeles,airport,OurAirports,13955
3533,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,FLL,KFLL,26.07259941,-80.15270233,9,-5,A,America/New_York,airport,OurAirports,7249
3448,General Edward Lawrence Logan International Airport,Boston,United States,BOS,KBOS,42.36429977,-71.00520325,20,-5,A,America/New_York,airport,OurAirports,9893
3797,John F Kennedy International Airport,New York,United States,JFK,KJFK,40.63980103,-73.77890015,13,-5,A,America/New_York,airport,OurAirports,8206
3456,Kahului Airport,Kahului,United States,OGG,PHOG,20.89859962,-156.4299927,54,-10,N,Pacific/Honolulu,airport,OurAirports,1892
3877,McCarran International Airport,Las Vegas,United States,LAS,KLAS,36.08010101,-115.1520004,2181,-8,A,America/Los_Angeles,airport,OurAirports,12520
3728,Honolulu International Airport,Honolulu,United States,HNL,PHNL,21.31870079,-157.9219971,13,-10,N,Pacific/Honolulu,airport,OurAirports,3828
3442,Grand Forks International Airport,Grand Forks,United States,GFK,KGFK,47.949299,-97.176102,845,-6,A,America/Chicago,airport,OurAirports,142
3839,Palm Springs International Airport,Palm Springs,United States,PSP,KPSP,33.82970047,-116.5070038,477,-8,A,America/Los_Angeles,airport,OurAirports,1033
3714,Washington Dulles International Airport,Washington,United States,IAD,KIAD,38.94449997,-77.45580292,312,-5,A,America/New_York,airport,OurAirports,2763
3502,Dallas Love Field,Dallas,United States,DAL,KDAL,32.8470993,-96.85179901,487,-6,A,America/Chicago,airport,OurAirports,5636
3520,Ronald Reagan Washington National Airport,Washington,United States,DCA,KDCA,38.8521,-77.037697,15,-5,A,America/New_York,airport,OurAirports,6602
3454,Eppley Airfield,Omaha,United States,OMA,KOMA,41.30319977,-95.89409637,984,-6,A,America/Chicago,airport,OurAirports,1429
3577,Seattle Tacoma International Airport,Seattle,United States,SEA,KSEA,47.44900131,-122.3089981,433,-8,A,America/Los_Angeles,airport,OurAirports,10311
3458,Kansas City International Airport,Kansas City,United States,MCI,KMCI,39.2976,-94.713898,1026,-6,A,America/Chicago,airport,OurAirports,3622
3697,La Guardia Airport,New York,United States,LGA,KLGA,40.77719879,-73.87259674,21,-5,A,America/New_York,airport,OurAirports,7752
3720,Portland International Airport,Portland,United States,PDX,KPDX,45.58869934,-122.5979996,31,-8,A,America/Los_Angeles,airport,OurAirports,4595
3751,Denver International Airport,Denver,United States,DEN,KDEN,39.86169815,-104.6729965,5431,-7,A,America/Denver,airport,OurAirports,18038
3486,Cleveland Hopkins International Airport,Cleveland,United States,CLE,KCLE,41.4117012,-81.84980011,791,-5,A,America/New_York,airport,OurAirports,2790
3488,Cincinnati Northern Kentucky International Airport,Cincinnati,United States,CVG,KCVG,39.04880142,-84.6678009,896,-5,A,America/New_York,airport,OurAirports,1358
3494,Newark Liberty International Airport,Newark,United States,EWR,KEWR,40.69250107,-74.16870117,18,-5,A,America/New_York,airport,OurAirports,9733
3495,Boise Air Terminal/Gowen field,Boise,United States,BOI,KBOI,43.56439972,-116.2229996,2871,-7,A,America/Denver,airport,OurAirports,1100
3504,Helena Regional Airport,Helena,United States,HLN,KHLN,46.60680008,-111.9830017,3877,-7,A,America/Denver,airport,OurAirports,141
3731,San Diego International Airport,San Diego,United States,SAN,KSAN,32.73360062,-117.1900024,17,-8,A,America/Los_Angeles,airport,OurAirports,6373
3536,Salt Lake City International Airport,Salt Lake City,United States,SLC,KSLC,40.78839874,-111.9779968,4227,-7,A,America/Denver,airport,OurAirports,8652
3830,Chicago O'Hare International Airport,Chicago,United States,ORD,KORD,41.97859955,-87.90480042,672,-6,A,America/Chicago,airport,OurAirports,19796
3673,Austin Bergstrom International Airport,Austin,United States,AUS,KAUS,30.19449997,-97.66989899,542,-6,A,America/Chicago,airport,OurAirports,3855
3878,Orlando International Airport,Orlando,United States,MCO,KMCO,28.42939949,-81.30899811,96,-5,A,America/New_York,airport,OurAirports,10908
3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,KDTW,42.21239853,-83.35340118,645,-5,A,America/New_York,airport,OurAirports,10447
3678,Lambert St Louis International Airport,St. Louis,United States,STL,KSTL,38.74869919,-90.37000275,618,-6,A,America/Chicago,airport,OurAirports,4535
3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,33.63669968,-84.42810059,1026,-5,A,America/New_York,airport,OurAirports,32185
3685,Gerald R. Ford International Airport,Grand Rapids,United States,GRR,KGRR,42.88079834,-85.52279663,794,-5,A,America/New_York,airport,OurAirports,746
3687,Fresno Yosemite International Airport,Fresno,United States,FAT,KFAT,36.77619934,-119.7180023,336,-8,A,America/Los_Angeles,airport,OurAirports,659
3690,Nashville International Airport,Nashville,United States,BNA,KBNA,36.12450027,-86.67819977,599,-6,A,America/Chicago,airport,OurAirports,4054
3717,General Mitchell International Airport,Milwaukee,United States,MKE,KMKE,42.94720078,-87.89659882,723,-6,A,America/Chicago,airport,OurAirports,2754
3752,Philadelphia International Airport,Philadelphia,United States,PHL,KPHL,39.87189865,-75.2410965,36,-5,A,America/New_York,airport,OurAirports,5920
3817,Sacramento International Airport,Sacramento,United States,SMF,KSMF,38.69540024,-121.5910034,27,-8,A,America/Los_Angeles,airport,OurAirports,3281
3855,Tulsa International Airport,Tulsa,United States,TUL,KTUL,36.19839859,-95.88809967,677,-6,A,America/Chicago,airport,OurAirports,1185
3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,MSP,KMSP,44.88199997,-93.22180176,841,-6,A,America/Chicago,airport,OurAirports,10652
3880,Great Falls International Airport,Great Falls,United States,GTF,KGTF,47.48199844,-111.3710022,3680,-7,A,America/Denver,airport,OurAirports,119
4009,Joe Foss Field Airport,Sioux Falls,United States,FSD,KFSD,43.58200073,-96.74189758,1429,-6,A,America/Chicago,airport,OurAirports,331
4041,Fort Wayne International Airport,Fort Wayne,United States,FWA,KFWA,40.97850037,-85.19509888,814,-5,A,America/New_York,airport,OurAirports,341
4127,Glacier Park International Airport,Kalispell,United States,FCA,KGPI,48.3105011,-114.2559967,2977,-7,A,America/Denver,airport,OurAirports,172
6494,Friedman Memorial Airport,Hailey,United States,SUN,KSUN,43.50439835,-114.2959976,5318,-7,A,America/Denver,airport,OurAirports,64
3653,Austin Straubel International Airport,Green Bay,United States,GRB,KGRB,44.48509979,-88.12960052,695,-6,A,America/Chicago,airport,OurAirports,320
3459,Dane County Regional Truax Field,Madison,United States,MSN,KMSN,43.13990021,-89.33750153,887,-6,A,America/Chicago,airport,OurAirports,653
